time,n_delay_added
00:00:00,0
00:15:00,6
00:30:00,16
00:45:00,5
01:00:00,5
01:15:00,12
01:30:00,16
01:45:00,11
02:00:00,5
02:15:00,5
02:30:00,5
02:45:00,5
03:00:00,5
03:15:00,4
03:30:00,4
03:45:00,19
04:00:00,5
04:15:00,5
04:30:00,4
04:45:00,4
05:00:00,5
05:15:00,5
05:30:00,5
05:45:00,12
06:00:00,12
06:15:00,12
06:30:00,12
06:45:00,12
07:00:00,12
07:15:00,12
07:30:00,12
07:45:00,16
08:00:00,5
08:15:00,5
08:30:00,5
08:45:00,12
09:00:00,12
09:15:00,12
09:30:00,12
09:45:00,16
10:00:00,5
10:15:00,5
10:30:00,5
10:45:00,5
11:00:00,16
11:15:00,5
11:30:00,12
11:45:00,16
12:00:00,12
12:15:00,12
12:30:00,12
12:45:00,5
13:00:00,11
13:15:00,5
13:30:00,12
13:45:00,4
14:00:00,4
14:15:00,12
14:30:00,12
14:45:00,12
15:00:00,16
15:15:00,5
15:30:00,12
15:45:00,5
16:00:00,5
16:15:00,12
16:30:00,12
16:45:00,16
17:00:00,12
17:15:00,4
17:30:00,4
17:45:00,4
18:00:00,19
18:15:00,4
18:30:00,12
18:45:00,4
19:00:00,4
19:15:00,4
19:30:00,4
19:45:00,12
20:00:00,4
20:15:00,4
20:30:00,12
20:45:00,4
21:00:00,12
21:15:00,12
21:30:00,12
21:45:00,12
22:00:00,12
22:15:00,4
22:30:00,4
22:45:00,4
23:00:00,4
23:15:00,4
23:30:00,4
23:45:00,4
23:45:30,12
23:46:00,5
23:46:30,12
23:47:00,5
23:47:30,4
23:48:00,12
23:48:30,5
23:49:00,4
